desvio_valor_signed,desvio_valor_abs,desvio_valor_pct,diff_vencimento_dias,cnpj_divergente,banco_divergente,reputacao_score,historico_fraude,dias_desde_abertura,label
0.0,0.0,0.0,6,0,0,40,3,78,fraude
46.99,46.99,0.076869,0,0,0,10,1,39,fraude
-0.3,0.3,5.7e-05,1,1,0,5,3,518,fraude
9024.69,9024.69,2.340731,8,0,1,95,0,2295,fraude
-19.89,19.89,0.00211,0,0,0,90,0,2849,suspeito
-128.41,128.41,0.327435,1,0,0,88,3,3229,fraude
0.0,0.0,0.0,5,0,0,5,3,518,fraude
-48.1,48.1,0.0084,6,0,0,88,3,3229,fraude
-14.52,14.52,0.001504,0,0,1,5,3,518,fraude
-81.43,81.43,0.775893,1,0,1,88,3,3229,fraude
-5001.81,5001.81,0.766183,0,1,0,40,3,78,fraude
-19.76,19.76,0.007099,12,0,0,88,3,3229,fraude
6.43,6.43,0.014216,0,0,0,40,3,78,fraude
0.0,0.0,0.0,0,0,0,90,0,2849,seguro
0.0,0.0,0.0,54,0,0,40,3,78,fraude
-40.56,40.56,0.004542,8,0,0,90,0,2849,fraude
-100.9,100.9,0.012321,0,0,0,0,3,1701,fraude
-20.79,20.79,0.009337,0,0,0,10,1,39,fraude
0.0,0.0,0.0,0,1,0,40,3,78,fraude
-34.35,34.35,0.009861,0,0,0,100,1,5167,fraude
12.64,12.64,0.001876,1,0,0,40,3,78,fraude
-35.09,35.09,0.022644,5,0,1,30,0,111,fraude
0.0,0.0,0.0,0,0,0,95,0,2295,seguro
-937.13,937.13,0.794811,0,0,0,0,3,1701,fraude
0.0,0.0,0.0,21,0,0,0,3,1701,fraude
-5812.46,5812.46,0.799155,9,0,0,95,0,2295,fraude
-1.45,1.45,0.000161,0,0,1,90,0,2849,fraude
4009.93,4009.93,0.888761,0,0,0,10,1,39,fraude
-3872.36,3872.36,0.594481,1,1,0,88,3,3229,fraude
0.9,0.9,9.2e-05,0,0,0,10,1,39,fraude
14.76,14.76,0.007407,0,0,0,30,0,111,fraude
0.0,0.0,0.0,1,0,0,0,3,1701,fraude
0.0,0.0,0.0,9,0,0,90,0,2849,suspeito
0.0,0.0,0.0,1,0,0,95,0,2295,seguro
35.15,35.15,0.004003,1,0,0,5,3,518,fraude
0.0,0.0,0.0,0,0,0,0,3,1701,fraude
44.61,44.61,0.006342,0,0,1,88,3,3229,fraude
6688.73,6688.73,4.199722,2,1,0,0,3,1701,fraude
0.0,0.0,0.0,5,0,0,10,1,39,fraude
0.0,0.0,0.0,39,1,0,40,3,78,fraude
0.0,0.0,0.0,0,0,0,95,0,2295,seguro
-0.24,0.24,2.6e-05,0,0,0,5,3,518,fraude
28.16,28.16,0.002948,1,0,0,30,0,111,fraude
0.0,0.0,0.0,0,0,0,0,3,1701,fraude
0.0,0.0,0.0,0,0,0,100,1,5167,seguro
-2266.19,2266.19,0.238697,0,0,0,5,3,518,fraude
0.0,0.0,0.0,0,0,1,88,3,3229,fraude
-7.3,7.3,0.001075,4,0,0,88,3,3229,fraude
0.0,0.0,0.0,0,0,0,30,0,111,seguro
0.0,0.0,0.0,3,0,0,40,3,78,fraude
-31.82,31.82,0.02596,5,0,0,40,3,78,fraude
16695.02,16695.02,2.066724,0,0,0,88,3,3229,fraude
-37.26,37.26,0.015371,0,0,0,100,1,5167,fraude
0.0,0.0,0.0,85,0,0,95,0,2295,seguro
-22.97,22.97,0.003991,0,0,0,90,0,2849,suspeito
-1035.04,1035.04,0.877919,14,0,0,0,3,1701,fraude
-42.01,42.01,0.004336,7,1,0,85,0,975,fraude
-43.29,43.29,0.018261,2,0,0,100,1,5167,fraude
24.6,24.6,0.00696,0,0,0,90,0,2849,suspeito
0.0,0.0,0.0,0,1,0,85,0,975,suspeito
0.0,0.0,0.0,0,0,1,30,0,111,suspeito
84.74,84.74,0.495729,7,0,0,5,3,518,fraude
14568.19,14568.19,2.619778,1,0,0,90,0,2849,fraude
0.0,0.0,0.0,81,0,0,40,3,78,fraude
0.0,0.0,0.0,0,0,0,100,1,5167,seguro
0.0,0.0,0.0,0,1,0,90,0,2849,suspeito
-21.49,21.49,0.002956,14,1,0,95,0,2295,fraude
-7327.19,7327.19,0.75533,0,0,0,0,3,1701,fraude
-7786.41,7786.41,0.899748,62,0,0,40,3,78,fraude
0.0,0.0,0.0,86,0,0,100,1,5167,suspeito
0.0,0.0,0.0,0,0,0,88,3,3229,suspeito
-43.96,43.96,0.007933,0,1,1,30,0,111,fraude
11.44,11.44,0.001839,0,1,0,100,1,5167,fraude
0.0,0.0,0.0,0,0,0,95,0,2295,seguro
-40.03,40.03,0.00761,0,0,0,40,3,78,fraude
0.58,0.58,0.000107,0,0,0,95,0,2295,seguro
-1514.76,1514.76,0.434105,1,0,0,90,0,2849,fraude
-18.44,18.44,0.003347,2,0,0,100,1,5167,fraude
0.68,0.68,0.000702,0,0,0,0,3,1701,fraude
0.0,0.0,0.0,0,0,0,90,0,2849,seguro
0.0,0.0,0.0,0,1,0,88,3,3229,fraude
-12.88,12.88,0.002861,0,0,1,85,0,975,fraude
0.0,0.0,0.0,0,0,0,0,3,1701,fraude
0.0,0.0,0.0,0,0,0,0,3,1701,fraude
0.0,0.0,0.0,0,0,0,30,0,111,seguro
0.0,0.0,0.0,0,0,0,10,1,39,fraude
0.0,0.0,0.0,9,0,1,90,0,2849,suspeito
-5191.03,5191.03,0.520525,88,0,0,90,0,2849,fraude
-4697.37,4697.37,0.648555,0,0,0,88,3,3229,fraude
0.0,0.0,0.0,1,0,0,90,0,2849,seguro
-19.09,19.09,0.005891,0,0,0,90,0,2849,suspeito
-38.25,38.25,0.014805,1,0,0,90,0,2849,suspeito
21.02,21.02,0.002469,84,0,0,30,0,111,fraude
41.57,41.57,0.078651,5,0,0,10,1,39,fraude
-45.49,45.49,0.018993,0,0,0,100,1,5167,fraude
-22.5,22.5,0.003594,1,0,0,95,0,2295,suspeito
-3085.37,3085.37,0.565257,0,0,0,85,0,975,fraude
-3813.3,3813.3,0.71171,0,0,0,30,0,111,fraude
0.0,0.0,0.0,1,0,0,40,3,78,fraude
-25.61,25.61,0.005571,0,0,0,90,0,2849,suspeito
-28.71,28.71,0.167483,1,0,0,85,0,975,suspeito
0.94,0.94,0.000233,0,0,0,10,1,39,fraude
30.06,30.06,0.011573,0,0,0,0,3,1701,fraude
46.78,46.78,0.010955,32,1,0,0,3,1701,fraude
0.0,0.0,0.0,72,0,0,5,3,518,fraude
-63.89,63.89,0.018873,0,0,0,100,1,5167,fraude
0.0,0.0,0.0,1,0,0,10,1,39,fraude
0.0,0.0,0.0,0,0,0,88,3,3229,suspeito
0.0,0.0,0.0,0,0,0,10,1,39,fraude
-4.29,4.29,0.00085,1,0,0,88,3,3229,fraude
0.56,0.56,0.001354,0,0,0,30,0,111,seguro
6.05,6.05,0.001211,0,1,0,85,0,975,fraude
-21.03,21.03,0.007664,0,0,0,5,3,518,fraude
